ID;FENOLOGIA
726;BROTE 85.8 CM
727;BROTE 85.9 CM
728;BROTE 86 CM
729;BROTE 86.1 CM
730;BROTE 86.2 CM
731;BROTE 86.3 CM
732;BROTE 86.4 CM
733;BROTE 86.5 CM
734;BROTE 86.6 CM
735;BROTE 86.7 CM
736;BROTE 86.8 CM
737;BROTE 86.9 CM
738;BROTE 87 CM
739;BROTE 87.1 CM
740;BROTE 87.2 CM
741;BROTE 87.3 CM
742;BROTE 87.4 CM
743;BROTE 87.5 CM
744;BROTE 87.6 CM
745;BROTE 87.7 CM
746;BROTE 87.8 CM
747;BROTE 87.9 CM
748;BROTE 88 CM
749;BROTE 88.1 CM
750;BROTE 88.2 CM
751;BROTE 88.3 CM
752;BROTE 88.4 CM
753;BROTE 88.5 CM
754;BROTE 88.6 CM
755;BROTE 88.7 CM
756;BROTE 88.8 CM
757;BROTE 88.9 CM
758;BROTE 89 CM
759;BROTE 89.1 CM
760;BROTE 89.2 CM
761;BROTE 89.3 CM
762;BROTE 89.4 CM
763;BROTE 89.5 CM
764;BROTE 89.6 CM
765;BROTE 89.7 CM
766;BROTE 89.8 CM
767;BROTE 89.9 CM
768;FORMACIÓN
